epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,13566.9,1.13487,0.77415,1.08825,0.9378,0.75403,0.85779,0.60504,1.07063,0.71973,1.05163,0.001703,0.001703,0.001703
47,13955.9,1.0701,0.75073,1.05583,1,0.7787,0.79788,0.55018,1.12815,0.98328,1.14203,0.0016964,0.0016964,0.0016964
48,14029.8,1.04452,0.74867,1.08071,0.97906,0.8,0.79737,0.57087,1.08244,1.07114,1.16685,0.0016898,0.0016898,0.0016898
49,14105.3,1.0214,0.73962,1.03942,0.93679,0.74147,0.83359,0.52452,1.05197,0.84925,1.09354,0.0016832,0.0016832,0.0016832
50,14479.2,1.00684,0.67311,0.99797,0.9355,0.8,0.79398,0.4753,1.39363,1.03968,1.35587,0.0016766,0.0016766,0.0016766
51,14556,1.07962,0.74379,1.03439,0.92788,0.8,0.80874,0.50575,1.19415,1.15534,1.21132,0.00167,0.00167,0.00167
52,14631.8,1.08053,0.76664,1.05177,0.971,0.55,0.74055,0.46831,1.18781,1.28165,1.20443,0.0016634,0.0016634,0.0016634
53,15011.6,1.11953,0.78221,1.07037,0.81103,0.65,0.71041,0.49885,1.10955,1.16269,1.18965,0.0016568,0.0016568,0.0016568
54,15098.1,1.02463,0.72797,1.03529,0.8223,0.8,0.75831,0.56277,1.03842,1.04612,1.1037,0.0016502,0.0016502,0.0016502
55,15186.4,1.07185,0.77121,1.02483,0.83898,0.78219,0.77704,0.52617,1.09856,1.03602,1.1283,0.0016436,0.0016436,0.0016436
56,15566.8,1.02775,0.7209,1.03905,0.88118,0.742,0.71692,0.47522,1.21731,1.16562,1.12977,0.001637,0.001637,0.001637
57,15759.2,1.01778,0.72258,1.01083,0.83844,0.8,0.76644,0.48611,1.29988,1.22568,1.20649,0.0016304,0.0016304,0.0016304
58,16141.3,1.08459,0.77826,1.08653,0.96205,0.65,0.74565,0.54074,1.06578,2.28911,1.07818,0.0016238,0.0016238,0.0016238
59,16312.5,1.01372,0.76495,1.05391,0.80377,0.75,0.77553,0.57008,1.12693,1.95682,1.14879,0.0016172,0.0016172,0.0016172
60,16695,0.95351,0.71651,0.9845,0.8832,0.65,0.7779,0.5472,1.18906,1.10096,1.1667,0.0016106,0.0016106,0.0016106
61,16783.3,0.96317,0.69505,0.98967,0.92911,0.65,0.75562,0.55913,1.03572,1.20251,1.11148,0.001604,0.001604,0.001604
62,16869,0.93231,0.6535,0.97405,0.98534,0.7,0.75136,0.57072,1.03656,1.06846,1.03629,0.0015974,0.0015974,0.0015974
63,17245.4,0.99269,0.76686,1.02858,0.93666,0.73997,0.80771,0.60896,0.95348,0.73643,0.98287,0.0015908,0.0015908,0.0015908
64,17328,0.93869,0.67013,0.95369,0.99214,0.7,0.80911,0.58618,0.96932,0.7714,0.97356,0.0015842,0.0015842,0.0015842
65,17411,0.86264,0.60852,0.97215,1,0.68522,0.78611,0.62943,0.87418,0.92238,0.97687,0.0015776,0.0015776,0.0015776
66,17518.5,0.9384,0.67209,0.98214,0.93111,0.75,0.8137,0.63397,0.89926,0.71041,0.96113,0.001571,0.001571,0.001571
67,17629.3,0.89237,0.63334,1.01964,0.94106,0.79848,0.86531,0.64706,0.93342,0.71058,1.01711,0.0015644,0.0015644,0.0015644
68,17720.9,0.90314,0.61551,0.99994,0.88262,0.75206,0.82989,0.67231,0.80129,0.78373,0.96105,0.0015578,0.0015578,0.0015578
69,18170.3,0.92033,0.65298,0.97749,0.88341,0.8,0.82449,0.59767,0.9794,0.89596,1.14463,0.0015512,0.0015512,0.0015512
70,18364.3,0.89131,0.61947,0.98015,0.99769,0.75,0.84017,0.57973,1.02866,0.72033,1.13181,0.0015446,0.0015446,0.0015446
71,18794.7,0.8902,0.60419,0.97139,0.94059,0.8,0.81323,0.6084,1.07217,0.80792,1.08319,0.001538,0.001538,0.001538
72,18865.6,0.87718,0.62204,0.97137,0.94384,0.84082,0.84776,0.64249,0.97036,0.8448,1.10065,0.0015314,0.0015314,0.0015314
73,18938.6,0.88069,0.58127,0.96555,0.9938,0.7,0.83389,0.65188,0.99237,0.93108,1.09167,0.0015248,0.0015248,0.0015248
74,19047.8,0.83429,0.59537,0.93634,0.86711,0.8,0.83077,0.59677,1.04332,0.98209,1.12866,0.0015182,0.0015182,0.0015182
75,19165.7,0.85714,0.62589,1.00848,1,0.74199,0.80731,0.54399,1.10486,1.03819,1.18843,0.0015116,0.0015116,0.0015116
76,19575.1,0.88301,0.59274,0.995,0.93735,0.74816,0.78426,0.52962,1.15569,1.02115,1.16885,0.001505,0.001505,0.001505
77,19758.5,0.92199,0.60009,0.95689,0.97851,0.7,0.79096,0.57268,0.99671,0.80387,0.989,0.0014984,0.0014984,0.0014984
78,20208.2,0.93249,0.61978,0.9896,0.9527,0.8,0.85908,0.63976,0.90342,0.68569,0.95991,0.0014918,0.0014918,0.0014918
79,20282.4,0.89124,0.62034,0.97975,0.99388,0.8,0.85669,0.67302,0.8973,0.71319,0.94103,0.0014852,0.0014852,0.0014852
80,20356.1,0.84134,0.57566,0.94344,0.99342,0.8,0.84954,0.64969,0.98132,0.80325,0.97258,0.0014786,0.0014786,0.0014786
81,20809.7,0.87455,0.56689,0.97513,0.98672,0.8,0.85138,0.64167,0.93027,0.68034,0.99748,0.001472,0.001472,0.001472
82,20884.7,0.83344,0.57466,0.96862,1,0.78453,0.84671,0.6678,0.8713,0.6321,0.97043,0.0014654,0.0014654,0.0014654
83,20963.9,0.84709,0.55857,0.97232,0.97478,0.8,0.85151,0.66015,0.93372,0.7023,1.05125,0.0014588,0.0014588,0.0014588
84,21435.4,0.79869,0.5691,0.97124,0.88328,0.85,0.86066,0.6622,0.91664,0.75563,1.04093,0.0014522,0.0014522,0.0014522
85,21512,0.83845,0.57264,0.94224,0.99502,0.7,0.80018,0.59131,0.95875,0.85035,0.96955,0.0014456,0.0014456,0.0014456
