epoch,train_loss,train_acc,val_loss,val_acc
0,0.6384081256550711,0.7315010570824524,0.5413910790036122,0.7738330046022354
1,0.53915905563144,0.7715292459478506,0.5949816508606697,0.7527942143326759
2,0.5201206014634253,0.786046511627907,0.4546609465032816,0.8040762656147271
3,0.502818029138956,0.7875968992248062,0.4582336265593767,0.8053911900065747
4,0.4893331688132372,0.7901338971106413,0.49469860961350304,0.7909270216962525
5,0.486210755869612,0.7887244538407329,0.44791533596192795,0.8027613412228797
6,0.47971662711184304,0.7949260042283298,0.4440330872312188,0.811965811965812
7,0.47504086188367894,0.7932346723044398,0.4393370747566223,0.8165680473372781
8,0.47099461124555486,0.7945031712473573,0.46017535698289674,0.8060486522024983
9,0.46114760858787074,0.8007047216349542,0.43426898975546163,0.8113083497698882
10,0.4547742179653666,0.8059196617336152,0.4501904967861871,0.8040762656147271
11,0.4598206943488336,0.8012684989429175,0.4449327844195068,0.8099934253780408
12,0.4293289805452029,0.8101479915433404,0.4295454545256992,0.8165680473372781
13,0.41783095077351406,0.8231148696264975,0.42660424563412863,0.819197896120973
14,0.4130234784102655,0.827061310782241,0.42724920009883743,0.8205128205128205
15,0.3941172829216665,0.8346723044397463,0.3803433372328679,0.8389217619986851
16,0.2940862636576902,0.8758280479210712,0.36790337522203725,0.8474687705456936
17,0.23710115327759906,0.9037350246652572,0.3671165551058948,0.8487836949375411
18,0.1751521714535114,0.9326286116983792,0.3868596141692251,0.854043392504931
19,0.12674411213411405,0.9592670894996477,0.4041026544291526,0.8533859303090072
20,0.10194560988629991,0.9663143058491895,0.4106003362685442,0.8606180144641683
21,0.06987946707050542,0.9787174066243833,0.452485902972209,0.8599605522682445
22,0.05533173401118466,0.9837914023960536,0.48520267894491553,0.8553583168967784
23,0.042972409596398205,0.9877378435517971,0.5095777642951967,0.8533859303090072
24,0.033892508907671516,0.9901338971106413,0.5207063838800726,0.851413543721236
25,0.02854118263191619,0.9926708949964764,0.586994984264796,0.851413543721236
26,0.026102205702766508,0.993798449612403,0.6090492064443728,0.8507560815253123
27,0.020654885994788545,0.9943622269203665,0.5695057498135915,0.8547008547008547
28,0.019081092651446793,0.9947850599013389,0.5808977865769217,0.854043392504931
29,0.01622723255685094,0.995630725863284,0.5804177063594883,0.851413543721236
30,0.013330044449036437,0.9976039464411558,0.5759076322428882,0.8566732412886259
31,0.013376482011202874,0.9970401691331924,0.5964441629087863,0.8547008547008547
32,0.010559504664490453,0.9977448907681465,0.5810900871486714,0.8527284681130834
33,0.012124793444338531,0.9976039464411558,0.6042521130487634,0.8533859303090072
34,0.01244799645883996,0.9967582804792107,0.5827871286310256,0.8533859303090072
35,0.01251744004181452,0.9968992248062015,0.5928883210969312,0.8520710059171598
